"District","Year","Observed","Predicted"
6,1995,143.3,53.804137931033
6,1996,14.7,55.6343842364518
6,1997,1.7,57.4646305418705
6,1998,109.7,59.2948768472893
6,1999,112.2,61.1251231527081
6,2000,3.5,62.9553694581268
6,2001,3.8,64.7856157635456
6,2002,20.8,66.6158620689644
6,2003,162.7,68.4461083743831
6,2004,81,70.2763546798019
6,2005,159.3,72.1066009852207
6,2006,31.7,73.9368472906394
6,2007,9,75.7670935960582
6,2008,17,77.597339901477
6,2009,49.5,79.4275862068957
6,2010,92,81.2578325123145
6,2011,0,83.0880788177337
6,2012,104.4,84.9183251231525
6,2013,277.6,86.7485714285713
6,2014,57.8,88.57881773399
6,2015,1.1,90.4090640394088
6,2016,70.7,92.2393103448276
6,2017,168.9,94.0695566502463
6,2018,139.3,95.8998029556651
6,2019,94.3,97.7300492610839
6,2020,99,99.5602955665026
6,2021,59.8,101.390541871921
6,2022,103.2,103.22078817734
6,2023,115.4,105.051034482759
7,1995,361.6,210.998620689654
7,1996,73.5,210.50093596059
7,1997,45.9,210.003251231526
7,1998,240.5,209.505566502462
7,1999,555.4,209.007881773398
7,2000,35.3,208.510197044334
7,2001,169.5,208.01251231527
7,2002,64,207.514827586206
7,2003,473.3,207.017142857142
7,2004,284.2,206.519458128078
7,2005,290.6,206.021773399014
7,2006,31.2,205.524088669951
7,2007,64.9,205.026403940887
7,2008,27,204.528719211823
7,2009,195.2,204.031034482759
7,2010,240.6,203.533349753695
7,2011,13.4,203.035665024631
7,2012,267.8,202.537980295567
7,2013,587.1,202.040295566503
7,2014,192.8,201.542610837439
7,2015,46.7,201.044926108375
7,2016,114.7,200.547241379311
7,2017,286.2,200.049556650247
7,2018,270.3,199.551871921183
7,2019,312.5,199.054187192119
7,2020,229.9,198.556502463055
7,2021,149.5,198.058817733991
7,2022,189.5,197.561133004927
7,2023,103.8,197.063448275863
8,1995,150.8,85.9751724137925
8,1996,45,86.1525615763541
8,1997,85.6,86.3299507389157
8,1998,196,86.5073399014773
8,1999,101.3,86.684729064039
8,2000,8.9,86.8621182266006
8,2001,69.1,87.0395073891622
8,2002,13.5,87.2168965517238
8,2003,212.9,87.3942857142854
8,2004,58.2,87.5716748768471
8,2005,137.6,87.7490640394087
8,2006,30.7,87.9264532019703
8,2007,30.5,88.1038423645319
8,2008,9.9,88.2812315270936
8,2009,114.2,88.4586206896552
8,2010,35.7,88.6360098522168
8,2011,42.1,88.8133990147784
8,2012,120.6,88.99078817734
8,2013,276.6,89.1681773399016
8,2014,57.5,89.3455665024632
8,2015,12.7,89.5229556650248
8,2016,47.9,89.7003448275864
8,2017,67,89.8777339901481
8,2018,50.2,90.0551231527097
8,2019,138.9,90.2325123152713
8,2020,136.4,90.4099014778329
8,2021,119.2,90.5872906403945
8,2022,81.2,90.7646798029562
8,2023,115.1,90.9420689655178
9,1995,289.1,156.210344827585
9,1996,47.4,155.495566502462
9,1997,17.8,154.780788177339
9,1998,119.7,154.066009852216
9,1999,450.6,153.351231527093
9,2000,39.7,152.63645320197
9,2001,135.9,151.921674876847
9,2002,28.1,151.206896551724
9,2003,341.5,150.4921182266
9,2004,143.3,149.777339901477
9,2005,259.4,149.062561576354
9,2006,41.1,148.347783251231
9,2007,41.7,147.633004926108
9,2008,18.3,146.918226600985
9,2009,201.6,146.203448275862
9,2010,130.9,145.488669950739
9,2011,36.6,144.773891625616
9,2012,155.3,144.059113300493
9,2013,480.7,143.34433497537
9,2014,105.3,142.629556650247
9,2015,32.2,141.914778325124
9,2016,88.9,141.200000000001
9,2017,224.1,140.485221674877
9,2018,154.6,139.770443349754
9,2019,159.6,139.055665024631
9,2020,142.2,138.340886699508
9,2021,101,137.626108374385
9,2022,119.2,136.911330049262
9,2023,134.1,136.196551724139
10,1995,480.5,228.151724137929
10,1996,107.8,228.646798029555
10,1997,123.8,229.14187192118
10,1998,292.2,229.636945812806
10,1999,235.2,230.132019704432
10,2000,117.3,230.627093596058
10,2001,221.1,231.122167487684
10,2002,119.4,231.617241379309
10,2003,557.9,232.112315270935
10,2004,301.3,232.607389162561
10,2005,259.2,233.102463054187
10,2006,75.9,233.597536945812
10,2007,102.8,234.092610837438
10,2008,28.5,234.587684729064
10,2009,133.3,235.08275862069
10,2010,341.5,235.577832512315
10,2011,53.9,236.072906403941
10,2012,209,236.567980295567
10,2013,572.4,237.063054187193
10,2014,413.3,237.558128078819
10,2015,78.3,238.053201970444
10,2016,170.3,238.54827586207
10,2017,266.2,239.043349753696
10,2018,321.1,239.538423645322
10,2019,338.9,240.033497536947
10,2020,348.9,240.528571428573
10,2021,296.3,241.023645320199
10,2022,213.7,241.518719211825
10,2023,37.4,242.01379310345
11,1995,457.1,265.755862068964
11,1996,118.6,264.940049261083
11,1997,42.6,264.124236453201
11,1998,401.8,263.308423645319
11,1999,506.1,262.492610837437
11,2000,65.3,261.676798029556
11,2001,303.1,260.860985221674
11,2002,139.5,260.045172413792
11,2003,562.6,259.229359605911
11,2004,203.7,258.413546798029
11,2005,310.4,257.597733990148
11,2006,80.2,256.781921182266
11,2007,97.4,255.966108374384
11,2008,47.4,255.150295566503
11,2009,250.1,254.334482758621
11,2010,369.5,253.518669950739
11,2011,33.6,252.702857142858
11,2012,350.5,251.887044334976
11,2013,835.7,251.071231527094
11,2014,175.3,250.255418719212
11,2015,69.5,249.439605911331
11,2016,141,248.623793103449
11,2017,285.5,247.807980295568
11,2018,230.3,246.992167487686
11,2019,308.2,246.176354679804
11,2020,360.7,245.360541871923
11,2021,347.6,244.544729064041
11,2022,258.1,243.728916256159
11,2023,24.3,242.913103448278
12,1995,522.4,258.119999999999
12,1996,130.7,256.739507389161
12,1997,33.8,255.359014778324
12,1998,491,253.978522167487
12,1999,366.9,252.59802955665
12,2000,52.9,251.217536945812
12,2001,195,249.837044334975
12,2002,157.2,248.456551724138
12,2003,499.2,247.0760591133
12,2004,256.4,245.695566502463
12,2005,467.7,244.315073891626
12,2006,61.3,242.934581280788
12,2007,61.8,241.554088669951
12,2008,68.6,240.173596059114
12,2009,184.5,238.793103448276
12,2010,333.4,237.412610837439
12,2011,32.5,236.032118226602
12,2012,152.5,234.651625615765
12,2013,534.6,233.271133004927
12,2014,126,231.89064039409
12,2015,79.4,230.510147783253
12,2016,198.2,229.129655172415
12,2017,458.4,227.749162561578
12,2018,285.1,226.368669950741
12,2019,319.9,224.988177339903
12,2020,288.4,223.607684729066
12,2021,232.4,222.227192118229
12,2022,222.1,220.846699507392
12,2023,112.7,219.466206896554
13,1995,480.6,220.651034482757
13,1996,95.8,219.000098522166
13,1997,44.5,217.349162561575
13,1998,223.6,215.698226600984
13,1999,577,214.047290640393
13,2000,22.6,212.396354679802
13,2001,158.4,210.745418719211
13,2002,55.8,209.09448275862
13,2003,470.6,207.443546798029
13,2004,252.2,205.792610837438
13,2005,248.4,204.141674876847
13,2006,34.5,202.490738916256
13,2007,44.1,200.839802955665
13,2008,13.2,199.188866995074
13,2009,130.3,197.537931034483
13,2010,248.9,195.886995073892
13,2011,29.8,194.236059113301
13,2012,158.8,192.58512315271
13,2013,677.1,190.934187192119
13,2014,142.8,189.283251231528
13,2015,30.3,187.632315270937
13,2016,110.9,185.981379310346
13,2017,324.4,184.330443349755
13,2018,239.1,182.679507389164
13,2019,267.5,181.028571428573
13,2020,215.1,179.377635467982
13,2021,161.6,177.726699507391
13,2022,152.3,176.0757635468
13,2023,118.4,174.424827586209
14,1995,143.5,68.1324137931027
14,1996,39,68.360640394088
14,1997,45.6,68.5888669950733
14,1998,122.5,68.8170935960585
14,1999,19.2,69.0453201970438
14,2000,7.2,69.273546798029
14,2001,52.6,69.5017733990143
14,2002,53.6,69.7299999999996
14,2003,194,69.9582266009849
14,2004,97,70.1864532019701
14,2005,105.4,70.4146798029554
14,2006,27.4,70.6429064039406
14,2007,46.6,70.8711330049259
14,2008,3.6,71.0993596059112
14,2009,129.4,71.3275862068965
14,2010,21.6,71.5558128078817
14,2011,0,71.784039408867
14,2012,98.8,72.0122660098523
14,2013,201.7,72.2404926108375
14,2014,40.7,72.4687192118228
14,2015,7,72.6969458128081
14,2016,43.9,72.9251724137933
14,2017,97.1,73.1533990147786
14,2018,6.6,73.3816256157639
14,2019,123.1,73.6098522167491
14,2020,54.5,73.8380788177344
14,2021,49.9,74.0663054187197
14,2022,84.7,74.2945320197049
14,2023,152.3,74.5227586206902
15,1995,143.4,65.3717241379304
15,1996,26.9,66.0124137931027
15,1997,52.1,66.6531034482753
15,1998,136.1,67.2937931034478
15,1999,50.2,67.9344827586201
15,2000,5.2,68.5751724137926
15,2001,37,69.2158620689652
15,2002,12.9,69.8565517241377
15,2003,128.6,70.49724137931
15,2004,134.9,71.1379310344826
15,2005,50.2,71.7786206896551
15,2006,17.5,72.4193103448274
15,2007,42.8,73.0599999999999
15,2008,14.9,73.7006896551725
15,2009,62.3,74.3413793103448
15,2010,180.7,74.9820689655173
15,2011,5.2,75.6227586206899
15,2012,53.3,76.2634482758622
15,2013,248.1,76.9041379310347
15,2014,59.8,77.5448275862072
15,2015,4.1,78.1855172413796
15,2016,119.7,78.8262068965521
15,2017,117.9,79.4668965517246
15,2018,59.9,80.1075862068969
15,2019,96.5,80.7482758620695
15,2020,130.2,81.388965517242
15,2021,54.8,82.0296551724146
15,2022,76.6,82.6703448275869
15,2023,34.1,83.3110344827594
16,1995,322.1,170.166206896551
16,1996,48.5,169.451871921181
16,1997,96.8,168.737536945812
16,1998,258.7,168.023201970443
16,1999,269.5,167.308866995073
16,2000,29.6,166.594532019704
16,2001,155.3,165.880197044334
16,2002,50,165.165862068965
16,2003,316.6,164.451527093596
16,2004,207.8,163.737192118226
16,2005,354.3,163.022857142857
