"District","Slope","Intercept"
"Angul",0.748571428571479,-1393.56965517252
"Balangir",-0.177684729064007,413.141034482693
"Balasore",-3.41443349753685,7084.1727586205
"Bargarh",-0.046256157635433,147.252758620619
"Bhadrak",-2.86817733990136,5980.73379310322
"Boudh",1.83024630541879,-3597.53724137945
"Cuttack",-0.497684729063956,1203.87965517225
"Deogarh",0.177389162561616,-267.916206896632
"Dhenkanal",-0.714778325123079,1582.19310344813
"Gajapati",0.495073891625766,-759.520689655475
"Ganjam",-0.815812807881666,1893.30241379289
"Jagatsinghpur",-1.3804926108373,3012.2027586204
"Jajpur",-1.65093596059099,3514.26827586179
"Jharsuguda",0.228226600985267,-387.179655172505
"Kalahandi",0.640689655172465,-1212.80413793114
"Kandhamal",-0.714334975369373,1595.26448275845
"Kendrapara",-3.76167487684716,7827.61862068939
"Keonjhar",-1.40773399014777,2959.87206896549
"Khordha",-2.02753694581272,4292.85275862051
"Koraput",1.43743842364535,-2750.52758620696
"Malkanagiri",0.240394088669944,-358.334482758607
"Mayurbhanj",-1.16650246305412,2494.07586206883
"Nawarangpur",-0.643842364532026,1386.39655172415
"Nayagarh",1.61600985221685,-3073.64655172434
"Nuapada",-0.712906403940864,1489.03241379306
"Puri",-2.24931034482747,4759.75758620667
"Rayagada",-1.10512315270916,2358.29586206857
"Sambalpur",1.40423645320205,-2745.34551724154
"Subarnapur",0.453300492610885,-845.956551724233
"Sundargarh",-0.101625615763524,283.824482758576
