"District","PBIAS"
"Angul",0
"Balangir",0
"Balasore",0
"Bargarh",0
"Bhadrak",0
"Boudh",0
"Cuttack",0
"Deogarh",0
"Dhenkanal",0
"Gajapati",0
"Ganjam",0
"Jagatsinghpur",0
"Jajpur",0
"Jharsuguda",0
"Kalahandi",0
"Kandhamal",0
"Kendrapara",0
"Keonjhar",0
"Khordha",0
"Koraput",0
"Malkanagiri",0
"Mayurbhanj",0
"Nawarangpur",0
"Nayagarh",0
"Nuapada",0
"Puri",0
"Rayagada",0
"Sambalpur",0
"Subarnapur",0
"Sundargarh",0
