"Sl. No.","District","Year","Precipitation","Predicted"
5,"Balangir",2001,38.4,57.5938916256155
5,"Balangir",2002,14.3,57.4162068965514
5,"Balangir",2003,116.8,57.2385221674874
5,"Balangir",2004,86,57.0608374384234
5,"Balangir",2005,119.1,56.8831527093594
5,"Balangir",2006,24.1,56.7054679802955
5,"Balangir",2007,30.8,56.5277832512314
5,"Balangir",2008,6.7,56.3500985221674
5,"Balangir",2009,44.6,56.1724137931034
5,"Balangir",2010,70.1,55.9947290640394
5,"Balangir",2011,5.9,55.8170443349754
5,"Balangir",2012,67.3,55.6393596059114
5,"Balangir",2013,204.3,55.4616748768474
5,"Balangir",2014,29.2,55.2839901477834
5,"Balangir",2015,4.5,55.1063054187194
5,"Balangir",2016,78.3,54.9286206896554
5,"Balangir",2017,60.5,54.7509359605913
5,"Balangir",2018,31.4,54.5732512315274
5,"Balangir",2019,44.7,54.3955665024633
5,"Balangir",2020,77.3,54.2178817733993
5,"Balangir",2021,46.1,54.0401970443353
5,"Balangir",2022,65.5,53.8625123152713
5,"Balangir",2023,35.6,53.6848275862073
6,"Boudh",1995,143.3,53.804137931033
6,"Boudh",1996,14.7,55.6343842364518
6,"Boudh",1997,1.7,57.4646305418705
6,"Boudh",1998,109.7,59.2948768472893
6,"Boudh",1999,112.2,61.1251231527081
6,"Boudh",2000,3.5,62.9553694581268
6,"Boudh",2001,3.8,64.7856157635456
6,"Boudh",2002,20.8,66.6158620689644
6,"Boudh",2003,162.7,68.4461083743831
6,"Boudh",2004,81,70.2763546798019
6,"Boudh",2005,159.3,72.1066009852207
6,"Boudh",2006,31.7,73.9368472906394
6,"Boudh",2007,9,75.7670935960582
6,"Boudh",2008,17,77.597339901477
6,"Boudh",2009,49.5,79.4275862068957
6,"Boudh",2010,92,81.2578325123145
6,"Boudh",2011,0,83.0880788177337
6,"Boudh",2012,104.4,84.9183251231525
6,"Boudh",2013,277.6,86.7485714285713
6,"Boudh",2014,57.8,88.57881773399
6,"Boudh",2015,1.1,90.4090640394088
6,"Boudh",2016,70.7,92.2393103448276
6,"Boudh",2017,168.9,94.0695566502463
6,"Boudh",2018,139.3,95.8998029556651
6,"Boudh",2019,94.3,97.7300492610839
6,"Boudh",2020,99,99.5602955665026
6,"Boudh",2021,59.8,101.390541871921
6,"Boudh",2022,103.2,103.22078817734
6,"Boudh",2023,115.4,105.051034482759
7,"Cuttack",1995,361.6,210.998620689654
7,"Cuttack",1996,73.5,210.50093596059
7,"Cuttack",1997,45.9,210.003251231526
7,"Cuttack",1998,240.5,209.505566502462
7,"Cuttack",1999,555.4,209.007881773398
7,"Cuttack",2000,35.3,208.510197044334
7,"Cuttack",2001,169.5,208.01251231527
7,"Cuttack",2002,64,207.514827586206
7,"Cuttack",2003,473.3,207.017142857142
7,"Cuttack",2004,284.2,206.519458128078
7,"Cuttack",2005,290.6,206.021773399014
7,"Cuttack",2006,31.2,205.524088669951
7,"Cuttack",2007,64.9,205.026403940887
7,"Cuttack",2008,27,204.528719211823
7,"Cuttack",2009,195.2,204.031034482759
7,"Cuttack",2010,240.6,203.533349753695
7,"Cuttack",2011,13.4,203.035665024631
